songName,time,lyric,file
骨骼谢幕,副歌,从生如夏花到死无对照 羡慕耍赖的 懂得冷笑,https://singcard-1431583798.cos-website.ap-beijing.myqcloud.com/gugexiemu.mp3
齐天大盛,副歌,翻江倒海 世界由我主宰,https://singcard-1431583798.cos-website.ap-beijing.myqcloud.com/qitiandasheng.mp3
冀西南林路行,主歌,开采我的血肉的火光,https://singcard-1431583798.cos-website.ap-beijing.myqcloud.com/jixinanlinluxing.mp3
再也没有瓜版,,我再也没有对你生气,https://singcard-1431583798.cos-website.ap-beijing.myqcloud.com/zaiyemeiyouguaban.mp3
对（主歌）,主歌,对 对 说得对,https://singcard-1431583798.cos-website.ap-beijing.myqcloud.com/dui1.mp3
隔岸（主歌）,主歌,那一幕怎忘记,https://singcard-1431583798.cos-website.ap-beijing.myqcloud.com/gean1.mp3
尘埃（主歌）,主歌,星星一直都在,https://singcard-1431583798.cos-website.ap-beijing.myqcloud.com/chenaizhuge.mp3
平日快乐（主歌）,主歌,清早卸下睡意前往每天的坐等,https://singcard-1431583798.cos-website.ap-beijing.myqcloud.com/pingrikuailezhuge.mp3
底牌,0分34秒,baby i aint liar 放下防备你和我,https://singcard-1431583798.cos-website.ap-beijing.myqcloud.com/dipai.mp3
明明（主歌）,主歌,旧唱片 完全尘封不已,https://singcard-1431583798.cos-website.ap-beijing.myqcloud.com/mingmingzhuge.mp3
让我拥抱所有的悲伤（主歌）,主歌,像一阵风 像一阵雨,https://singcard-1431583798.cos-website.ap-beijing.myqcloud.com/rangwoyongbaosuoyoudebeishangzhuge.mp3
逃（主歌）,主歌,为谁拼命着拼命追逐着,https://singcard-1431583798.cos-website.ap-beijing.myqcloud.com/taozhuge.mp3
新郎（主歌）,主歌,沿着发梢 拂过眉心,https://singcard-1431583798.cos-website.ap-beijing.myqcloud.com/xinlangzhuge.mp3
于是（主歌）,0:13-0:38,,https://singcard-1431583798.cos-website.ap-beijing.myqcloud.com/yushi.mp3
你不是我，我不是你（主歌）,0:14-0:39,,https://singcard-1431583798.cos-website.ap-beijing.myqcloud.com/nibushiwo_wobushiwo.mp3
偶像万万岁,2:33-2:58,,https://singcard-1431583798.cos-website.ap-beijing.myqcloud.com/ouxiangwanwansui.mp3
删拾（主歌）,0:16-0:41,,https://singcard-1431583798.cos-website.ap-beijing.myqcloud.com/shanshi.mp3
姗姗（主歌）,0:15-0:40,,https://singcard-1431583798.cos-website.ap-beijing.myqcloud.com/shanshan.mp3
我愿,0:40-1:05,,https://singcard-1431583798.cos-website.ap-beijing.myqcloud.com/woyuan.mp3
无人知晓的我,0:49-1:14,无眠的黎明是夜的血痕，走多远还是在原地的人，时光的列车开不回昨天，再也无法去爱像那些年,https://singcard-1431583798.cos-website.ap-beijing.myqcloud.com/wurenzhixiaodewo.mp3
替我照顾她,1:14-1:39,,https://singcard-1431583798.cos-website.ap-beijing.myqcloud.com/tiwozhaoguta.mp3
海与岛,0:50-1:15,,https://singcard-1431583798.cos-website.ap-beijing.myqcloud.com/haiyudao.mp3
海与你,1:04-1:29,,https://singcard-1431583798.cos-website.ap-beijing.myqcloud.com/haiyuni.mp3
虞兮叹（主歌）,0:29-0:54,,https://singcard-1431583798.cos-website.ap-beijing.myqcloud.com/yuxitan.mp3
过季短袖（主歌）,0:20-0:45,,https://singcard-1431583798.cos-website.ap-beijing.myqcloud.com/guojiduanxiu.mp3
